,Time,Date,AQI
393,02:15:00,2023-02-05,174.28496436202772
394,02:30:00,2023-02-05,174.8405199175833
395,02:45:00,2023-02-05,175.39607547313886
396,03:00:00,2023-02-05,176.92385325091664
397,03:15:00,2023-02-05,178.4516310286944
398,03:30:00,2023-02-05,179.9794088064722
399,03:45:00,2023-02-05,181.50718658424995
400,04:00:00,2023-02-05,182.92385325091664
401,04:15:00,2023-02-05,184.3405199175833
402,04:30:00,2023-02-05,185.75718658424995
403,04:45:00,2023-02-05,187.17385325091664
404,05:00:00,2023-02-05,187.8544088064722
405,05:15:00,2023-02-05,188.53496436202772
406,05:30:00,2023-02-05,189.2155199175833
407,05:45:00,2023-02-05,189.89607547313886
408,06:00:00,2023-02-05,190.2016310286944
409,06:15:00,2023-02-05,190.50718658424995
410,06:30:00,2023-02-05,190.81274213980555
411,06:45:00,2023-02-05,191.11829769536106
412,07:00:00,2023-02-05,190.9655199175833
413,07:15:00,2023-02-05,190.81274213980555
414,07:30:00,2023-02-05,190.65996436202772
415,07:45:00,2023-02-05,190.50718658424995
416,08:00:00,2023-02-05,190.54885325091664
417,08:15:00,2023-02-05,190.5905199175833
418,08:30:00,2023-02-05,190.63218658424995
419,08:45:00,2023-02-05,190.67385325091664
420,09:00:00,2023-02-05,189.00718658424995
421,09:15:00,2023-02-05,187.3405199175833
422,09:30:00,2023-02-05,185.67385325091664
423,09:45:00,2023-02-05,184.00718658424995
424,10:00:00,2023-02-05,183.7155199175833
425,10:15:00,2023-02-05,183.42385325091664
426,10:30:00,2023-02-05,183.13218658424995
427,10:45:00,2023-02-05,182.8405199175833
428,11:00:00,2023-02-05,182.5141310286944
429,11:15:00,2023-02-05,182.18774213980555
430,11:30:00,2023-02-05,181.86135325091664
431,11:45:00,2023-02-05,181.53496436202772
432,12:00:00,2023-02-05,181.52107547313886
433,12:15:00,2023-02-05,181.50718658424995
434,12:30:00,2023-02-05,181.49329769536106
435,12:45:00,2023-02-05,181.4794088064722
436,13:00:00,2023-02-05,181.33357547313886
437,13:15:00,2023-02-05,181.8881628486725
438,13:30:00,2023-02-05,182.15852148440433
439,13:45:00,2023-02-05,182.440786339547
440,14:00:00,2023-02-05,183.02575193303903
441,14:15:00,2023-02-05,183.81898762868005
442,14:30:00,2023-02-05,184.58606298598357
443,14:45:00,2023-02-05,185.32489305584454
444,15:00:00,2023-02-05,186.05364995317592
445,15:15:00,2023-02-05,186.82212392243332
446,15:30:00,2023-02-05,187.5438396341733
447,15:45:00,2023-02-05,187.5438396341733
448,16:00:00,2023-02-05,186.5469817794671
449,16:15:00,2023-02-05,185.56335191628605
450,16:30:00,2023-02-05,184.6031242332004
451,16:45:00,2023-02-05,183.78477454134776
452,17:00:00,2023-02-05,183.1515600603637
453,17:15:00,2023-02-05,182.5720036219701
454,17:30:00,2023-02-05,181.9301448581437
455,17:45:00,2023-02-05,181.22513969137873
456,18:00:00,2023-02-05,180.41286699399564
457,18:15:00,2023-02-05,179.76164451110253
458,18:30:00,2023-02-05,178.85715336590664
459,18:45:00,2023-02-05,178.26205543183124
460,19:00:00,2023-02-05,176.94448576787144
461,19:15:00,2023-02-05,175.9960774594803
462,19:30:00,2023-02-05,175.06152064930416
463,19:45:00,2023-02-05,173.9564497256505
464,20:00:00,2023-02-05,174.35922750342826
465,20:15:00,2023-02-05,174.76200528120603
466,20:30:00,2023-02-05,175.16478305898386
467,20:45:00,2023-02-05,175.56756083676163
468,21:00:00,2023-02-05,176.74117194787272
469,21:15:00,2023-02-05,177.91478305898386
470,21:30:00,2023-02-05,179.08839417009494
